Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1366,AO,Durham,Operations,1430,Customer Service Centre - Durham,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,17/01/2020,01/07/2019
1367,AO,Swansea,Operations,1430,Customer Service Centre - Swansea,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/10/2020,01/07/2019
1368,AO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,11/11/2022,01/07/2019
1369,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,23/02/2021,02/09/2019
1370,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,09/09/2022,02/09/2019
1371,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,On Progression,1,Payroll,Resignation,,10/02/2022,02/09/2019
1372,HEO,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,02/01/2023,30/07/2019
1373,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,31/07/2022,02/09/2019
1374,HEO,Plymouth,DDat,7530,User Centred Research and Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/08/2020,05/08/2019
1375,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,11/12/2020,02/09/2019
1376,AO,Coventry,Operations,1473,Volume Register Updates (VRU),Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,22/03/2023,02/09/2019
1377,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,18/10/2020,02/09/2019
1378,APP,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,,15/11/2019,10/09/2019
1379,EO,Nottingham,Human Resources,1233,HR Operations,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/09/2019,09/09/2019
1380,APP,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,Resignation,10/09/2019,10/09/2019
